DATE,Market_Liquidity_Index
2018-04-02,0.13030423813092928
2018-04-03,0.481797102090497
2018-04-04,0.5522421470841582
2018-04-05,0.5016815715869848
2018-04-06,0.49187151618101943
2018-04-09,0.3992353563203085
2018-04-10,0.43004626210927227
2018-04-11,0.5210662130868621
2018-04-12,0.48985788261264046
2018-04-13,0.5423772594861812
2018-04-16,0.446344390901202
2018-04-17,0.42161180178139673
2018-04-18,0.4165008373009199
2018-04-19,0.529627825737752
2018-04-20,0.5834902826994853
2018-04-23,0.5386477872767698
2018-04-24,0.5564758886881777
2018-04-25,0.41985685321156163
2018-04-26,0.6877380323658708
2018-04-27,0.5310746370822684
2018-04-30,0.395043897917735
2018-05-02,0.4624564592460178
2018-05-03,0.2995338012308639
2018-05-04,0.35440729268794774
2018-05-07,0.4072541061713177
2018-05-08,0.4106583172397779
2018-05-09,0.45314890051331863
2018-05-10,0.4168538259934519
2018-05-11,0.40550595923742283
2018-05-14,0.3144715135591516
2018-05-15,0.41588696655830487
2018-05-16,0.35640093257046074
2018-05-17,0.38184243065492096
2018-05-18,0.4448133570916961
2018-05-21,0.290028710605336
2018-05-22,0.2689958911353091
2018-05-23,0.3053170809061443
2018-05-24,0.32658016549596963
2018-05-25,0.30155705711473946
2018-05-28,0.3784646499024581
2018-05-29,0.3730461676506149
2018-05-30,0.2784159422418786
2018-05-31,0.7780271109995974
2018-06-01,0.3241994383631772
2018-06-04,0.20369006060385325
2018-06-05,0.27003911314377876
2018-06-06,0.16876789730290134
2018-06-07,0.32520494708889064
2018-06-08,0.4172894313338004
2018-06-11,0.3798035034732918
2018-06-12,0.4200021955096534
2018-06-13,0.3698566968037427
2018-06-14,0.3238824574129878
2018-06-15,0.43252397534434306
2018-06-18,0.21480858566266192
2018-06-19,0.2586932437297047
2018-06-20,0.18276052099370596
2018-06-21,0.1931694998983492
2018-06-22,0.22086936716742148
2018-06-25,0.17913498123173205
2018-06-26,0.2563470696630778
2018-06-27,0.2987915137930855
2018-06-28,0.4510089380188533
2018-06-29,0.26034572956420954
2018-07-02,0.18697727953180443
2018-07-03,0.1548115836242496
2018-07-04,0.21335525265256308
2018-07-05,0.22579252884021128
2018-07-06,0.28440978331971967
2018-07-09,0.23828639806259902
2018-07-10,0.3138832378713113
2018-07-11,0.29380530313595926
2018-07-12,0.3203357730082126
2018-07-13,0.218625439265249
2018-07-16,0.17054542576581475
2018-07-17,0.22316014291978706
2018-07-18,0.23227338949616413
2018-07-19,0.10414584710441409
2018-07-20,0.14135258825537753
2018-07-23,0.23235271315575293
2018-07-24,0.46726334209980847
2018-07-25,0.41928760100617946
2018-07-26,0.6160727874045175
2018-07-27,0.46968161322866225
2018-07-30,0.42341725909857625
2018-07-31,0.5424504178584002
2018-08-01,0.4418688661461319
2018-08-02,0.38288335395564876
2018-08-03,0.544141767342
2018-08-06,0.5104939458890476
2018-08-07,0.5105455210586665
2018-08-08,0.5305869137758334
2018-08-09,0.5516830417507109
2018-08-10,0.4645507290512423
2018-08-13,0.3627556588735335
2018-08-14,0.4081833770367903
2018-08-16,0.2967220627346591
2018-08-17,0.3758991721133119
2018-08-20,0.4237953571570037
