DATE,Market_Liquidity_Index,NIFTY50_Liquidity_Index_Raw,NIFTY50_Liquidity_Index_30D,NIFTY50_Index
2023-06-20,1.0438951591765917,0.7467570451350563,0.9126382966606026,0.5400250588573523
2023-06-21,1.0677461897891596,1.0664687055141724,0.9166714377358042,0.7712278434020747
2023-06-22,1.0405478638218506,0.9259328717441908,0.9162495941976317,0.6695979057970326
2023-06-23,0.9417085062414108,0.9697608450893689,0.9205335995812931,0.7012925567407645
2023-06-26,0.8668679724132927,1.064370811237166,0.9306503280957477,0.7697107295190553
2023-06-27,0.9692879156680944,0.9579761563884439,0.9370318669214842,0.6927703375654749
2023-06-28,1.0694745236118408,0.8935625505046414,0.944034601592581,0.6461889741418146
2023-06-30,1.0482827826374364,0.7817148633110285,0.9468614967631827,0.5653051656082565
2023-07-03,1.0016539576742705,0.9874707284351092,0.9527416466946371,0.7140996415328612
2023-07-04,0.9942698011633312,0.9131546266776922,0.9558090037305491,0.6603571860889493
2023-07-05,1.052949438234211,1.0747748367358312,0.9574683765987573,0.7772345078601809
2023-07-06,1.1924200717016176,0.9110919459773884,0.9578734023580749,0.6588655372670972
2023-07-07,1.13912236226875,0.6421314919781613,0.9499157600749736,0.46436401103782116
2023-07-10,0.997777666135654,1.0022724257751432,0.9585053326161159,0.7248036416213972
2023-07-11,1.048158905724791,1.000465105253182,0.95445005578787,0.7234966591461671
2023-07-12,1.0648851670099455,0.9005996834752111,0.9495115566957855,0.6512779494268508
2023-07-13,1.0979722978176798,0.7876425353277989,0.9421742937603935,0.5695918227621433
2023-07-14,1.0563443035163091,0.8488021042980067,0.9384534313641807,0.6138199958312751
2023-07-17,1.140600408200733,0.8278012584659857,0.9317457699208032,0.5986330175759307
2023-07-18,1.0163276780442936,0.9533122974236983,0.9262712325044384,0.6893976198544775
2023-07-19,1.039547751539594,0.9633473003785215,0.9240595708938506,0.696654535737115
2023-07-20,1.0819544583723535,0.639919117544411,0.9118683082946488,0.462764109648763
2023-07-21,1.0736351039938734,0.7759649555105556,0.9105490011547588,0.5611470604807539
2023-07-24,1.0862292021803546,0.9622645757880295,0.9115675591114306,0.6958715522828365
2023-07-25,1.05652959922236,1.0179881354166347,0.9097980825993572,0.7361686191323848
2023-07-26,1.0487422924457128,1.004695010167565,0.9093831984052344,0.7265555585100659
2023-07-27,1.190420843759668,0.5441874953644528,0.8914421594435502,0.3935347997426316
2023-07-28,1.2280851259708463,0.9321730076906894,0.8914017657851617,0.6741105244642945
2023-07-31,1.2371379535964495,0.8136450308678893,0.8903696808346344,0.5883957955883196
2023-08-01,1.1918429271377766,1.0725021835968316,0.8994249900357619,0.7755910153037382
2023-08-02,1.1645251738408793,0.5588599811914688,0.8931617545709756,0.4041453591929077
2023-08-03,1.1093558125119225,0.6036669793318667,0.8777350303648989,0.43654800201446087
2023-08-04,1.1372201281407002,1.0267804694469058,0.8810966169549893,0.7425268861659847
2023-08-07,1.0204494122884125,1.0345628798461168,0.8832566847802142,0.7481548165099507
2023-08-08,1.045271807581262,1.028016709150371,0.8820448813773212,0.7434208856574858
2023-08-09,1.1071317972151316,0.7938022462959584,0.8765724177075715,0.5740462812768574
2023-08-10,1.1164482334245782,0.956440523043842,0.878668350125545,0.6916598284745938
2023-08-11,1.0688816030114878,0.8830255520246554,0.8820453730826657,0.638569035017832
2023-08-14,0.9469498375140748,0.6877310979738394,0.8720540520672901,0.4973398364044697
2023-08-16,0.9394075994597504,-0.9983879174836567,0.8083359672619118,-0.7219945193875892
